name,sex,latest_year,latest_rank,latest_count,first_year,total_count,origin_backgrounds,languages,scripts,variants,meaning,age_style_category,historical_significance_score,semantic_summary
Diana,F,2020,244,1222,1880,363168,,,,,,,,
Ana,F,2020,245,1221,1880,105037,,,,,,,,
Vera,F,2020,246,1207,1880,143003,,,,,,,,
Alayna,F,2020,247,1205,1945,30313,,,,,,,,
Nyla,F,2020,248,1202,1915,21181,,,,,,,,
Elaina,F,2020,249,1198,1941,26191,,,,,,,,
Rebecca,F,2020,250,1192,1880,753048,,,,,,,,
Angela,F,2020,251,1182,1880,669590,,,,,,,,
Kali,F,2020,252,1175,1957,27808,,,,,,,,
Alivia,F,2020,253,1171,1952,30357,,,,,,,,
Raegan,F,2020,254,1169,1956,21306,,,,,,,,
Rowan,F,2020,255,1166,1916,45134,,,,,,,,
Phoebe,F,2020,256,1163,1880,35872,,,,,,,,
Camilla,F,2020,257,1162,1880,25465,,,,,,,,
Joanna,F,2020,258,1162,1880,107042,,,,,,,,
Malia,F,2020,259,1162,1919,26209,,,,,,,,
Vivienne,F,2020,260,1159,1895,17104,,,,,,,,
Dakota,F,2020,261,1158,1915,123641,,,,,,,,
Brooklynn,F,2020,262,1156,1975,34085,,,,,,,,
Evangeline,F,2020,263,1156,1881,29091,,,,,,,,
Camille,F,2020,264,1154,1880,70846,,,,,,,,
Jane,F,2020,265,1154,1880,375024,,,,,,,,
Nicole,F,2020,266,1149,1937,591738,,,,,,,,
Catherine,F,2020,267,1144,1880,664696,,,,,,,,
Jocelyn,F,2020,268,1138,1900,108766,,,,,,,,
Julianna,F,2020,269,1136,1900,47627,,,,,,,,
Lena,F,2020,270,1135,1880,140956,,,,,,,,
Lucille,F,2020,271,1130,1880,227445,,,,,,,,
Mckenna,F,2020,272,1130,1972,39824,,,,,,,,
Paige,F,2020,273,1130,1914,143373,,,,,,,,
Adelaide,F,2020,274,1128,1880,29340,,,,,,,,
Charlee,F,2020,275,1128,1914,15083,,,,,,,,
Mariana,F,2020,276,1125,1888,39692,,,,,,,,
Myla,F,2020,277,1125,1913,14494,,,,,,,,
Mckenzie,F,2020,278,1123,1917,63205,,,,,,,,
Tessa,F,2020,279,1123,1891,50816,,,,,,,,
Miriam,F,2020,280,1121,1880,111851,,,,,,,,
Oakley,F,2020,281,1120,1884,13742,,,,,,,,
